Tag,Colony,Date,total_followed,total_movement,total_follower,count,sex,age,Total_Adults,Total_Adult_Females,Total_Adult_Males,Total_Subadults,Total_Juveniles,Group_Size
577,1,23/06/2012,0,2,0,13,2,1,3,3,0,1,0,6
577,1,29/05/2012,0,2,0,9,2,1,2,2,0,1,0,5
577,1,29/06/2012,0,5,0,18,2,1,2,2,0,1,0,5
577,1,29/07/2012,0,3,0,12,2,1,7,2,5,1,0,9
577,2A,24/06/2012,0,1,0,9,2,1,1,1,0,0,0,1
577,2A,28/06/2012,0,1,0,7,2,1,1,1,0,0,0,1
577,2A,29/05/2012,0,2,0,9,2,1,4,2,2,1,0,7
577,2A,29/06/2012,0,5,0,18,2,1,1,1,0,1,0,3
577,2B,19/06/2012,0,1,0,8,2,1,6,4,2,1,0,7
578,2B,13/06/2012,1,8,0,27,2,1,10,3,7,1,0,11
578,2B,19/06/2012,1,4,0,15,2,1,6,4,2,1,0,7
578,2B,20/06/2012,0,4,0,15,2,1,9,3,6,0,0,9
578,2B,23/06/2012,0,1,0,9,2,1,7,3,4,1,0,8
578,2B,24/06/2012,1,2,0,9,2,1,5,3,2,1,0,6
578,2B,28/06/2012,0,2,0,9,2,1,5,3,2,1,0,6
578,2B,30/06/2012,0,2,0,9,2,1,4,3,1,0,0,4
578,2C/22,01/08/2012,0,1,0,4,2,1,3,1,2,0,0,4
578,2C/22,04/08/2012,0,2,0,15,2,1,1,1,0,0,0,2
578,2C/22,07/06/2012,0,5,0,16,2,1,7,3,4,1,0,8
578,2C/22,17/07/2012,0,1,0,9,2,1,4,2,2,1,0,5
578,2C/22,27/05/2012,1,8,0,45,2,1,7,3,4,1,0,8
578,2C/22,28/05/2012,0,1,0,1,2,1,5,2,3,1,0,6
578,2C/22,30/06/2012,0,2,0,9,2,1,2,1,1,0,0,2
579,2C/22,07/06/2012,0,1,0,2,1,1,7,3,4,1,0,8
